search_query,job_title,company_name,location,posting_date,job_url,years_exp_min,years_exp_max,career_level,education_level,salary,employment_type,job_categories,skills,job_description,job_requirements,scraped_at
Desktop Developer,Desktop Developer,Kuwait office for charity projects,"Cairo, EG",posted 10 days ago,https://wuzzuf.net/jobs/p/yc1iuhevok1e-desktop-developer-kuwait-office-for-charity-projects-cairo-egypt,3.0,7.0,Experienced (Non-Manager),Bachelor's Degree,Confidential,Full Time | On-site,IT/Software Development,Computer Science | Information Technology (IT) | Software Engineering | Software Development | SQL | VB.net | WPF,"Provide support and maintenance required for applicable programs and systems.
Work on the development of used programs.
Taking backup copies of databases periodically","Bachelor’s degree in Computer Engineering or Computer Science.
From 3 years of experience.
Work professionally in programming languages such as (VB.NET - C#.NET – VB6 – SQL - PL/SQL).
Experience in C#, widows form application/ wpf , oracle database / mysql , crystal report , dev express.",2026-04-16T00:42:16
Desktop Developer,Senior C# .NET Desktop Developer (WinForms) – High-Performance Applications,Anzemah,"Giza, EG",posted 2 months ago,https://wuzzuf.net/jobs/p/dteh3rvxcxfe-senior-c-net-desktop-developer-winforms-high-performance-applications-anzemah-giza-egypt,3.0,10.0,Experienced (Non-Manager),Bachelor's Degree,Confidential,Full Time | On-site,IT/Software Development | Engineering - Telecom/Technology,Object Oriented Programming | Databases | DB2 | crystal reports | .Net | C# | Desktop Applications,"We are hiring a highly skilled C# .NET Desktop Developer to build, optimize, and maintain high-performance Windows desktop applications. You will take ownership of core application modules, improve responsiveness and stability, and work closely with stakeholders to deliver reliable features end-to-end—from UI to database. This role is ideal for someone who enjoys solving complex problems, tuning performance, and writing clean, maintainable code

 

Key Responsibilities

Design, develop, and maintain Windows desktop applications using C# and .NET (WinForms).

Build and enhance features end-to-end (UI, business logic, database integration).

Optimize performance (startup time, UI responsiveness, memory usage, CPU utilization).

Implement robust data access and business logic with clean architecture and separation of concerns.

Design and maintain database schemas, tables, indexes, and queries for performance and scalability.

Write clean, testable, maintainable code and produce clear technical documentation.

Troubleshoot production issues, identify root causes, and deliver timely fixes.

Collaborate with product/operations teams to refine requirements and deliver solutions.

Participate in code reviews and contribute to engineering standards and best practices.

Use Git-based workflows and support release cycles.","Required Qualifications
Strong professional experience in C# and .NET building desktop applications.
Solid hands-on experience with WinForms (controls, layouts, event-driven programming, custom UI components).
Strong knowledge of SQL and database design (normalization, indexing, query optimization).
Excellent debugging skills and ability to work independently with minimal supervision.
Strong understanding of OOP principles and maintainable application architecture.
Experience with Git and collaborative development practices.
Experience building maintainable architectures (layered architecture, clean separation of concerns).

 

Nice to Have (Preferred Qualifications)
Experience with WPF or modernizing legacy WinForms apps.
Experience with .NET 6/7/8 and migrating from older .NET Framework versions.
Experience with ORMs such as Entity Framework or Dapper (and understanding performance tradeoffs).
Knowledge of async programming, multi-threading, and UI thread safety.
Familiarity with CI/CD ( GitHub Actions, etc.).
Secure coding practices and handling sensitive data.
Experience with reporting tools, charts, and data-heavy desktop UI.

 

Technical Skills (What You’ll Use)
C# / .NET, WinForms, OOP, design patterns
SQL & database schema design, performance tuning, indexing (DB2/ PostgreSQL / MySQL)
Debugging and profiling tools (Visual Studio diagnostics, profilers)
Version control (Git), issue tracking, documentation

 

Soft Skills
Strong ownership mindset and accountability for deliverables
Excellent communication and ability to explain technical topics clearly
Detail-oriented with a focus on quality and maintainability
Ability to prioritize, estimate tasks, and meet deadlines",2026-04-16T00:42:20
Desktop Developer,Junior IT Help Desk,UNI Power,"Giza, EG",posted 2 months ago,https://wuzzuf.net/jobs/p/zcdpurdf4nf5-junior-it-help-desk-uni-power-giza-egypt,0.0,2.0,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Full Time | On-site,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology,Information Technology (IT) | Troubleshooting | Hardware Troubleshooting | Hardware Maintenance | Information technology (it) | Hardware troubleshooting | Hardware maintenance | Help desk support | Technical support | Active directory | Network troubleshooting | Operating systems | Remote desktop support | Customer service | Problem solving | Communication skills,"Provide first-line technical support via phone, email, and ticketing system
Troubleshoot hardware, software, printer, and network connectivity issues
Install, configure, and maintain desktops, laptops, and mobile devices
Set up and manage user accounts (e.g., Microsoft 365, Active Directory)
Document incidents, solutions, and processes in the ticketing system
Escalate unresolved issues to senior IT staff when necessary
Assist with system updates, patches, and basic security procedures
Support onboarding and offboarding processes (account setup, equipment provisioning)
Maintain inventory of IT equipment and assets","Associate’s or Bachelor’s degree in Information Technology, Computer Science, or related field (or equivalent experience)
Basic understanding of Windows and/or macOS operating systems
Familiarity with Microsoft 365 applications
Knowledge of basic networking concepts (TCP/IP, DNS, DHCP)
Strong troubleshooting and problem-solving skills
Excellent communication and customer service skills",2026-04-16T00:42:27
Desktop Developer,Senior .Net Developer,National Technology,"Cairo, EG",posted 23 days ago,https://wuzzuf.net/jobs/p/5nw0m3k7ynho-senior-net-developer-national-technology-cairo-egypt,4.0,6.0,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Family Medical Insurance",Full Time | Hybrid,IT/Software Development,.Net | ASP.Net | Computer Engineering | Computer Science | Development | Engineering | Information Technology (IT) | MVC | Software Development | Software Engineering | SQL | Web Development | HTML | JavaScript,"Receive tasks from the team leader for development
Handle existing software issues and implement requested changes
Apply updates and modifications to current software systems
Work on software enhancements and improvements
Develop new system versions
Contribute to ERD creation with analysts and the .NET team leader
Support project architecture design with the team leader
Perform unit testing before handing over to the QC team
Plan system implementation
Distribute tasks to junior team members
Communicate with the quality team to resolve bugs and issues
Assist the team leader in both high-level and low-level application design
Guide junior developers and conduct peer code reviews
Maintain timesheets for tasks and bug fixes
Perform other related tasks as required","Bachelor’s degree in computer engineering or computer science.
 C# language
.Net framework version 4.
 ASP.NET WebForm & MVC (Work Experience is a must
 WCF Services and Restful API
Windows services
 ASP.Net Core
 Oracle Database (Work Experience is a must)
 Javascript, HTML, Jquery, and Angular +2 (Work Experience is a must)
 Familiar with the desktop/web development model and Internet Information Server.
 Strong analytical and problem-solving skills.
Ability to handle difficult situations.",2026-04-16T00:42:33
Desktop Developer,Mid-Level .Net Developer,National Technology,"Cairo, EG",posted 1 month ago,https://wuzzuf.net/jobs/p/x5ir9shxsgbk-mid-level-net-developer-national-technology-cairo-egypt,2.0,3.0,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Family Medical Insurance",Full Time | Hybrid,IT/Software Development,Computer Science | Information Technology (IT) | Software Development | .Net Framework | .Net Development | .Net | jQuery | JavaScript | MVC | CSS,"Receive the tasks from the senior or the team leader to implement.
Develop application codes for software.
Resolve the assigned bugs.
Communicate with the quality team concerning bug issues.
Implement the test code before sending it to the quality engineer for testing, which is required.
Assist in searching for new technologies and methodologies to share with the team.
Participate in implementation solutions.
Report module(s) status frequently to the team leader to take action and ensure alignment with the project plan.
Record the time sheet corresponding to each task and bug.
Perform other required related tasks.","Bachelor’s degree in Computer Engineering or Computer Science.
From 2–3 years of experience.
.NET Framework version 2.0, 3.0, 3.5, 4.0.
MS SQL 2008 development using T-SQL (Work Experience is a must).
Familiar with the desktop/web development model and Internet Information Server.
Experience in C#, ASP.NET, MVC, Web API, Entity Framework, LINQ, MSSQL, HTML5, JavaScript, jQuery, CSS, and Bootstrap.
ITI Diploma Certificate is preferred.",2026-04-16T00:42:39
Desktop Developer,Senior Software Developers Java/Angular,MTS-IT,"Cairo, EG",posted 1 month ago,https://wuzzuf.net/jobs/p/fwhww8rpcqrj-senior-software-developers-javaangular-mts-it-cairo-egypt,5.0,5.0,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Monthly Bonus, Quarter Annual Bonus",Full Time | On-site,IT/Software Development | Engineering - Telecom/Technology,Angular | Computer Science | Full Stack | Information Technology (IT) | Software Development | CSS | spring Framework | Java SE | Micro Services | PostgreSQL,"We are hiring Software Developers to join our team in a stable, long-term role. This position is suitable for develops with 5+ years of experience who are looking to grow their skills in a professional environment. Scope:

Reviews Requirements and design of the system to be implemented.
Develop web and desktop applications according to system specifications.
Create logical and dynamic user interfaces according to system specifications.
Develop system integration software components according to system specifications.
Perform unit testing and debugging to ensure the code is correct.
Upgrade existing application as required according to system specifications.
Respond to testing bug reports and fix bugs.","Bachelor's degree in computer science field or equivalent.
Proven experience as a Full Stack Developer Java spring-boot and angular
Experience developing desktop and mobile applications
Experienced in Patterns, Designs and Algorithms.
Experienced in Microservices Architecture.
Experience with Websockets.
Experience with Kafka Streams and Redis.
Experience with Spring security, OpenID, OAuth2, and SAML 2.
Familiarity with common stacks
Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)
Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)
Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX design
Excellent communication and teamwork skills.
An analytical mind.
Degree in Computer Science, Statistics or relevant field.",2026-04-16T00:42:46
Desktop Developer,Software Developer,Renewable Energy Pros,"Cairo, EG",posted 1 month ago,https://wuzzuf.net/jobs/p/kigtdoolgavl-software-developer-renewable-energy-pros-cairo-egypt,2.0,5.0,Experienced (Non-Manager),Bachelor's Degree,Confidential,Full Time | On-site,IT/Software Development | Engineering - Telecom/Technology | Engineering - Other,Python | Software Development | Django Framework | React | Pandas | Pyside | Java | Matplotlib | SQL | Object Oriented Programming | Amazon AWS | Git | Software Engineering | Computer Science | Computer Engineering | Renewable Energy | Energy Storage | Data Analysis | Simulation and Modeling,"Job Description

Your Impact:

As a Software Developer at Renewable Energy Pros, you will play a pivotal role in shaping and advancing our cutting-edge energy storage software platform. This position combines design sensibility with technical expertise, empowering you to lead the development of intuitive user interfaces, conceptualize and implement innovative features, and ensure our platform evolves in response to client needs. Your collaborative creativity and technical execution will drive scalability and innovation, directly contributing to our mission of creating a resilient and efficient energy ecosystem for generations to come.

Job Description:

In this role, you will:

Apply knowledge of UI design and software engineering to design and develop new user interfaces and interaction models using the Python Pyside framework.
Create and make decisions that implement a consistent design language throughout the Storlytics Software platform.
Collaborate with the application development team and lead the design and development of the user interface for the Storlytics software.
Optimize Storlytics software UI for maximum speed, responsiveness, and scalability.
Development and maintenance of our website frontend and backend.
Create and maintain test suites to perform quality control before software version releases.
Contribute to existing codebases, design systems, and themes; connect ideas across teams.
Collaborate across time zones via TEAMS, GitHub comments, documents, and frequent videoconferences.","Basic Qualifications

Bachelor's degree in Computer Science, Software Engineering, or a related field, with evidence of exceptional ability.
Excellent knowledge in the programming language Python.
Excellent experience in the following frameworks/libraries: Pyside, Pandas, Matplotlib, Numpy, Django, and ReactJS
Understanding of object-oriented programming (OOP) concepts
Excellent problem-solving and analytical skills
Knowledge of basic web development concepts (HTML, CSS, JavaScript)
Excellent command of English, both spoken and written.

 

Preferred Qualifications

Master’s degree in computer engineering or a related field.
Previous Software development experience.
Experience with Python programming (expert level).
Experience in creating interactive UI in Python
Experience with version control systems (Git, GitHub, or GitLab)
Strong organizational, technical writing, and communication skills.
Ability to work independently and collaboratively within a project team.
Eagerness to learn and tackle new challenges.
Thrive in fast-paced environments with a proactive mindset.

 

About Us

Renewable Energy Pros is headquartered in Charlotte, North Carolina, serves clients in over 30 countries. As a leader in energy storage technology, we deliver cutting-edge software solutions that optimize the design and implementation of grid-tied energy storage systems. Our platform empowers utilities and energy storage developers to accurately model lifecycle costs and adapt to an ever-evolving energy landscape. At Storlytics, you’ll be part of a dynamic and innovative team driving meaningful change in renewable energy.",2026-04-16T00:42:51
Desktop Developer,Full time Senior VB6 Developer,Sinmar Soft,"Cairo, EG",posted 2 months ago,https://wuzzuf.net/jobs/p/tutbsu1fcpma-full-time-senior-vb6-developer-sinmar-soft-cairo-egypt,5.0,5.0,Experienced (Non-Manager),Not Specified,Confidential,Full Time | On-site,IT/Software Development,VB6 | Visual Basic 6,"We are looking for a Senior VB6 Developer to join our team and build functional applications. his/her responsibilities include participating in the entire software development life cycle, debugging applications and configuring existing systems. Ultimately, you’ll use your expertise in the Visual Basic 6  to help us make high-quality applications.","Senior Visual Basic6 Developer Experience Is MUST
Proven experience as a Full Stack Developer or similar role
Experience developing desktop applications
Familiarity with common stacks
Familiarity with databases MSSQL
Excellent communication and teamwork skills
Great attention to detail
Organizational skills
An analytical mind
Degree in Computer Science, Statistics or relevant field",2026-04-16T00:42:57
Desktop Developer,Quality Control Engineer (midlevel),Afaqy,"Cairo, EG",posted 8 days ago,https://wuzzuf.net/jobs/p/djn7iolu9qwb-quality-control-engineer-midlevel-afaqy-cairo-egypt,4.0,6.0,Experienced (Non-Manager),Bachelor's Degree,Confidential,Full Time | Hybrid,IT/Software Development | Quality | Engineering - Telecom/Technology,Information Technology (IT) | Computer Science | Software Development | Software Testing | Quality Control | Quality Assurance | Agile | ISTQB | Computer Engineering | SQL | Appium | Selenium | Automation | Mobile Testing | Communication Skills | Computer Skills | Mobile Applications | Testing | QC | Engineering | Cypress,"Developing and Execute Automate test scripts using selenium web driver.
Develop and Execute manual test cases and analyze results.
Report bugs and errors to development teams.
Help troubleshoot issues.
Work with cross-functional teams to ensure quality throughout the software development life-cycle.","Bachelor’s degree in computer science or Computer Engineering
Web services knowledge.
Previous Experience in test both Web and Mobile applications.
Experience in testing Web/ desktop and mobile applications
+4 years of them working experience in QC field.
Familiar with automated testing tools and test management systems.
Experience in Automation.
Experience in Selenium & Appium.
Experience in Agile methodology.
Experience in performance tools (Plus).
ISTQB Certificate (Preferred).
SQL knowledge (Preferred)
Strong communication and documentation skills.
Planning & Organizing Skills.",2026-04-16T00:43:02
Desktop Developer,IT Support Engineer,Hamza Group,"Giza, EG",posted 15 days ago,https://wuzzuf.net/jobs/p/il1iaj9kkbei-it-support-engineer-hamza-group-giza-egypt,1.0,3.0,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Full Time | On-site,IT/Software Development | Engineering - Telecom/Technology,Computer Science | Information Technology (IT) | Software Development,"Provide first-level support to end-users for hardware, software, and network issues.
 Troubleshoot and resolve technical problems via phone, email, or in-person.
 Ensure timely resolution of issues and escalate complex problems to higher-level support when necessary.
 Perform routine maintenance tasks such as software updates and system monitoring.
 Communicate effectively with users to understand their needs and provide appropriate solutions.","Bachelor’s degree in computer science, information technology, or a related field.
 1 to 3 years of experience in an IT Helpdesk role.

 

PC Skills:

 Strong knowledge of operating systems, hardware, and software applications.
 Understanding of computer hardware components and peripherals.
 Ability to diagnose and resolve hardware issues, including desktops, laptops, printers, and scanners.
 Basic understanding of networking concepts.
 Excellent troubleshooting skills and attention to detail.

 

Other Skills:

Language Skills: Very Good
 Strong communication skills to effectively assist users and explain technical issues in a simple manner.",2026-04-16T00:43:07
Desktop Developer,Senior .NET Developer,LogicsWare,"Giza, EG",posted 2 months ago,https://wuzzuf.net/jobs/p/wyrqyhr00srk-senior-net-developer-logicsware-giza-egypt,3.0,7.0,Experienced (Non-Manager),Bachelor's Degree,Confidential,Full Time | On-site,IT/Software Development,C# | ASP.NET Web Forms | ASP.net MVC | ASP.Net Web API | Winforms | HTML5 | CSS | JavaScript | RESTful Web Services | Microsoft Azure | Back-End Development,"Experienced C# programmer 

Required to develop  & maintain  C# desktop & Back End web applications.

Should have a knowledge in legacy .net and .net core programming.
Desktop programming for windows applications using Win Forms and win32 services.
Web programming using Web forms & MVC.
Basic knowledge of JavaScript/HTML/CSS.","C# excellent knowledge
Desktop Winforms.
ASP.NET MVC & Legacy Web Forms experience
Web API & REST API
Microsoft SQL Server 
Back end Web programming
 HTML & CSS
Azure function is a plus",2026-04-16T00:43:13
