job_title,company_name,city,fully_anonymous,posting_date_parsed,days_since_posted,primary_category,job_domain,job_domain_group,career_level,years_exp_min,years_exp_max,education_level,contract_type,workplace_mode,is_full_time,is_part_time,is_freelance,is_remote,is_hybrid,is_onsite,salary_disclosed,sal_min,sal_max,sal_min_egp,sal_max_egp,currency,pay_period,technical_skills,soft_skills,skill_count,job_categories
Mechatronics Engineer,Elhelb Smart Solutions,Damietta,False,2026-04-18 15:00:00,0,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Entry Level (Junior Level / Fresh Grad),0,2,No Degree Requirement Listed,Full Time,On-site,True,True,False,False,False,True,False,,,,,,,"['Mechatronics, Accounting, Mechanical Engineering, Electronics, Smart Home, Pcb, Electronic Circuits']",Sales,7,Installation/Maintenance/Repair | IT/Software Development | Sales/Retail
Information Systems Specialist,Abou Seif Group,Cairo,False,2026-04-18 13:00:00,0,Accounting/Finance,Accounting/Finance,IT Finance/ERP,Experienced (Non-Manager),3,5,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Erp, Accounting, Financial Analysis, Oracle, Reporting, Report Building, Alfa Erp, Erp System']",,8,Accounting/Finance | IT/Software Development
Product Designer,Rescounts,Cairo,False,2026-04-17 00:00:00,2,Creative/Design/Art,Creative/Design/Art,Design/UX,Experienced (Non-Manager),5,7,No Degree Requirement Listed,Full Time,Fully Remote,True,False,False,True,False,False,True,65000.0,75000.0,65000.0,75000.0,EGP,Month,"['Design, Product Design']",,2,Creative/Design/Art | IT/Software Development
Senior Data Engineer,GB Corp,Giza,False,2026-04-17 00:00:00,2,IT/Software,Pure IT,Core IT,Experienced (Non-Manager),3,7,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Computer Science, Information Technology (It), Software Development']",,3,IT/Software Development | Engineering - Telecom/Technology
Flutter,Ibn Sina Pharma,Cairo,False,2026-04-17 00:00:00,2,Creative/Design/Art,Creative/Design/Art,Design/UX,Entry Level (Junior Level / Fresh Grad),1,3,No Degree Requirement Listed,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Computer Science, Information Technology (It), Mobile Development, Git, Flutter, Dart Programming Language, Mobile Application Development, Ui/Ux Design Principles, Api Integration, State Management (Flutter), Version Control (Git), Collaborative Teamwork']",Problem Solving,12,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology
ERP Application Support,Ibn Sina Pharma,Cairo,False,2026-04-17 00:00:00,2,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Entry Level (Junior Level / Fresh Grad),1,3,No Degree Requirement Listed,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Application Support, Erp Application, Information Technology (It), Erp, Troubleshooting, System Administration, Database Management, Sql, Process Improvement, Itil, Database, Technical Support']","Customer Support, Problem Solving, Communication Skills",12,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology
Flutter Developer,Ibn Sina Pharma,Cairo,False,2026-04-17 00:00:00,2,Creative/Design/Art,Creative/Design/Art,Design/UX,Entry Level (Junior Level / Fresh Grad),0,2,No Degree Requirement Listed,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Computer Science, Information Technology (It), Git, Flutter, Dart, Mobile App Development, Ui/Ux Design Principles, Restful Apis, Version Control (Git), Agile Methodologies, Data Structures & Algorithms, Cross-Platform Development']",Problem Solving,12,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology
.Net Developer,Ibn Sina Pharma,Cairo,False,2026-04-17 00:00:00,2,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Experienced (Non-Manager),1,3,No Degree Requirement Listed,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['.Net, Angular, Asp.Net, Css, Html, Information Technology (It), Javascript, Jquery, Mvc, Xml']",,10,Installation/Maintenance/Repair | IT/Software Development | Engineering - Telecom/Technology
Full Stack Developer,Ibn Sina Pharma,Cairo,False,2026-04-17 00:00:00,2,Creative/Design/Art,Creative/Design/Art,Design/UX,Experienced (Non-Manager),1,3,No Degree Requirement Listed,Full Time,Hybrid,True,False,False,False,True,False,False,,,,,,,"['Angular, React, Html, .Net, Node.Js, Css, Javascript, Mysql, Information Technology (It), Mongodb, Web Development']",,11,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology
Senior Storage and Backup Engineer,Anzemah,Giza,False,2026-04-17 00:00:00,2,IT/Software,Pure IT,Core IT,Manager,5,10,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Information Technology (It), Storage, Ibm Aix, Ibm Storage, Emc Storage, Computer Engineering, Ibm Site Protect, Data Backup, Disaster Recovery, System Administration, Virtualization, Leadership']",Problem Solving,12,IT/Software Development | Engineering - Telecom/Technology
Application Support Engineer,e-finance,Giza,False,2026-04-17 00:00:00,2,IT/Software,Pure IT,Core IT,Entry Level (Junior Level / Fresh Grad),0,2,No Degree Requirement Listed,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Application Support, Information Technology (It)']",,2,IT/Software Development
Technical Support (Application Consultant),Confidential,Cairo,True,2026-04-16 00:00:00,3,Customer,Customer Service/Support,IT Support,Entry Level (Junior Level / Fresh Grad),0,2,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Business English Technical Support Customer Support Hr Systems Commerce Database Configuration Erp Computer Science Networking Software Sql English Payroll Human Resources (Hr), Networking, Hr Systems, Microsoft Sql Server, Business English, Technical Support, Payroll, Database']",Customer Support,8,Customer Service/Support | IT/Software Development
IT Maintenance Engineer,Protection,Giza,False,2026-04-16 00:00:00,3,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Field/Support IT,Entry Level (Junior Level / Fresh Grad),1,3,Bachelor's Degree,Full Time,On-site,True,False,False,False,False,True,False,,,,,,,"['Software Development, Information Technology (It), Maintenance, Ccna, Electronics, Mcsa']",,6,Installation/Maintenance/Repair | IT/Software Development
